City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Esperance,AU,2021-09-15 20:53:33,-33.8667,121.9,58.84,65,54,17.56
68,Manokwari,ID,2021-09-15 20:53:33,-0.8667,134.0833,77.43,79,100,5.59
69,Saldanha,ZA,2021-09-15 20:53:34,-33.0117,17.9442,53.65,79,0,20.24
70,Trat,TH,2021-09-15 20:53:34,12.5,102.5,74.05,97,95,2.48
71,Kokstad,ZA,2021-09-15 20:53:34,-30.5472,29.4241,48.78,87,100,3.67
72,Guerrero Negro,MX,2021-09-15 20:53:35,27.9769,-114.0611,78.69,57,1,20.2
73,Narsaq,GL,2021-09-15 20:53:35,60.9167,-46.05,39.54,62,0,2.93
74,Esso,RU,2021-09-15 20:53:35,55.9333,158.7,46.27,58,15,4.21
75,Nador,MA,2021-09-15 20:53:36,35.174,-2.9287,70.05,88,0,2.3
76,Atuona,PF,2021-09-15 20:53:36,-9.8,-139.0333,77.83,74,2,23.89
77,Margate,GB,2021-09-15 20:53:37,51.3813,1.3862,60.89,84,98,1.1
78,Black Forest,US,2021-09-15 20:53:37,39.0131,-104.7008,85.75,29,1,7.0
79,Botucatu,BR,2021-09-15 20:53:37,-22.8858,-48.445,69.4,72,46,12.3
80,Port Hedland,AU,2021-09-15 20:53:37,-20.3167,118.5667,68.05,77,75,8.05
81,Tawau,MY,2021-09-15 20:53:38,4.2498,117.8871,73.53,87,82,4.65
82,Port Elizabeth,ZA,2021-09-15 20:53:38,-33.918,25.5701,55.69,76,40,11.5
83,Salalah,OM,2021-09-15 20:53:38,17.0151,54.0924,79.29,91,100,1.59
84,Belaya Gora,RU,2021-09-15 20:53:39,68.5333,146.4167,37.2,84,99,3.85
85,Upington,ZA,2021-09-15 20:53:39,-28.4478,21.2561,50.38,37,0,5.75
86,Saskylakh,RU,2021-09-15 20:53:39,71.9167,114.0833,42.84,96,100,19.66
87,Bredasdorp,ZA,2021-09-15 20:53:40,-34.5322,20.0403,47.52,87,5,6.91
88,Mildura,AU,2021-09-15 20:53:40,-34.2,142.15,39.16,87,12,2.3
89,Kivsharivka,UA,2021-09-15 20:53:40,49.6213,37.7036,52.32,45,0,5.03
90,Bengkulu,ID,2021-09-15 20:53:41,-3.8004,102.2655,74.52,93,85,4.5
91,Jamestown,US,2021-09-15 20:53:41,42.097,-79.2353,66.02,85,75,3.0
92,Bethel,US,2021-09-15 20:50:40,41.3712,-73.414,86.36,71,20,16.11
93,Butaritari,KI,2021-09-15 20:53:42,3.0707,172.7902,82.98,74,67,14.67
94,Sao Joao Da Barra,BR,2021-09-15 20:53:42,-21.6403,-41.0511,82.49,87,11,8.75
95,Khasan,RU,2021-09-15 20:53:42,42.4308,130.6434,61.07,78,100,3.02
96,Kapaa,US,2021-09-15 20:53:43,22.0752,-159.319,82.38,69,90,4.0
97,Pochutla,MX,2021-09-15 20:53:43,15.7432,-96.4661,86.85,66,67,8.25
98,Chapais,CA,2021-09-15 20:53:43,49.7834,-74.8492,51.58,78,99,7.49
99,Ostrovnoy,RU,2021-09-15 20:53:44,68.0531,39.5131,42.24,82,100,19.82
100,Karaton,ID,2021-09-15 20:53:44,-6.3424,106.1045,75.36,93,95,1.9
101,Puerto Narino,CO,2021-09-15 20:53:44,-3.7703,-70.3831,91.35,74,94,2.01
102,Muravlenko,RU,2021-09-15 20:53:45,63.7898,74.523,42.33,85,100,6.2
103,Nome,US,2021-09-15 20:53:45,64.5011,-165.4064,46.47,93,90,3.44
104,Ancud,CL,2021-09-15 20:53:45,-41.8697,-73.8203,52.43,86,100,11.81
105,Husavik,IS,2021-09-15 20:53:46,66.0449,-17.3389,48.11,71,13,5.46
106,San Pedro,PH,2021-09-15 20:53:38,14.35,121.0167,80.1,86,20,4.61
107,Iracoubo,GF,2021-09-15 20:53:46,5.4802,-53.2011,82.24,76,2,9.91
108,Ponta Do Sol,PT,2021-09-15 20:53:47,32.6667,-17.1,75.83,70,17,4.63
109,Itarema,BR,2021-09-15 20:53:47,-2.9248,-39.9167,79.86,81,27,16.44
110,Avarua,CK,2021-09-15 20:49:10,-21.2078,-159.775,78.85,69,75,9.22
111,Sorong,ID,2021-09-15 20:53:47,-0.8833,131.25,78.46,85,99,7.0
112,Bluff,NZ,2021-09-15 20:53:48,-46.6,168.3333,43.81,71,88,11.59
113,Leningradskiy,RU,2021-09-15 20:53:48,69.3833,178.4167,28.15,94,99,1.16
114,Searcy,US,2021-09-15 20:53:48,35.2506,-91.7363,89.98,53,1,1.01
115,Ventspils,LV,2021-09-15 20:53:49,57.3894,21.5606,46.33,93,0,3.44
116,Tres Lagoas,BR,2021-09-15 20:49:47,-20.7511,-51.6783,87.44,39,77,6.49
117,Upernavik,GL,2021-09-15 20:53:49,72.7868,-56.1549,32.36,81,100,13.98
118,General Pico,AR,2021-09-15 20:53:50,-35.6566,-63.7568,66.7,39,10,5.28
119,Lebu,CL,2021-09-15 20:53:50,-37.6167,-73.65,53.94,69,18,7.27
120,Vila Franca Do Campo,PT,2021-09-15 20:53:50,37.7167,-25.4333,70.21,74,18,0.29
121,Noumea,NC,2021-09-15 20:53:50,-22.2763,166.4572,67.98,59,52,14.47
122,Belmonte,BR,2021-09-15 20:52:12,-15.8631,-38.8828,79.3,81,0,8.79
