City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,Eyl,SO,77.86,overcast clouds,7.9803,49.8164,Amiin Hotel
267,Ahuimanu,US,82.11,light rain,21.4447,-157.8378,Paradise Bay Resort
270,Bela,IN,77.63,overcast clouds,25.9333,81.9833,Raj Bhawan
277,Roebourne,AU,82.42,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
285,Lhokseumawe,ID,79.66,scattered clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
287,Matara,LK,78.58,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
288,Marsh Harbour,BS,83.43,few clouds,26.5412,-77.0636,Abaco Beach Resort
294,Port Augusta,AU,75.7,clear sky,-32.5,137.7667,Majestic Oasis Apartments
296,Victoria,HK,87.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
298,Koutiala,ML,75.76,light rain,12.3917,-5.4642,Hotel Campement Poule Verte
301,Sao Felix Do Xingu,BR,80.85,clear sky,-6.6447,-51.995,Rio Xingu Camping
303,Vila Do Maio,CV,79.5,overcast clouds,15.1333,-23.2167,Hotel Marilu
305,Dumai,ID,77.18,overcast clouds,1.6833,101.45,Grand Zuri Dumai
306,Senador Pompeu,BR,80.67,broken clouds,-5.5881,-39.3717,Hotel Central
309,Lazaro Cardenas,MX,81.77,overcast clouds,17.9583,-102.2,quinta antigua
311,Dovers,VC,83.71,clear sky,12.8833,-61.1833,Ocean Breeze
318,Polonnaruwa,LK,79.18,overcast clouds,7.9333,81.0,Thisara Guest House
320,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
323,Kirakira,SB,83.75,broken clouds,-10.4544,161.9205,SanBiz Lodge
325,Omboue,GA,76.12,overcast clouds,-1.5746,9.2618,Hotel Olako
335,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
337,Mangrol,IN,80.04,broken clouds,21.1167,70.1167,Hotel The Royal Honours
340,Brandon,US,82.85,overcast clouds,27.9378,-82.2859,Brandon Motor Lodge
345,Dicabisagan,PH,85.41,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
350,North Bend,US,79.95,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
351,Kudahuvadhoo,MV,82.67,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
353,Acarau,BR,78.66,overcast clouds,-2.8856,-40.12,castelo pizzaria
355,Manokwari,ID,83.01,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
357,Dingle,PH,83.64,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
360,Elat,IL,78.03,clear sky,29.5581,34.9482,Club Hotel Eilat
362,Tateyama,JP,80.62,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
364,Voh,NC,80.15,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
365,Nabire,ID,82.62,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
368,Srandakan,ID,78.64,overcast clouds,-7.9386,110.2506,Puri Brata
369,Puerto Suarez,BO,89.44,overcast clouds,-18.95,-57.8,Hotel casa real
392,Kinablangan,PH,85.71,overcast clouds,7.6947,126.5503,Danny Moreno Property
394,Punto Fijo,VE,84.18,overcast clouds,11.6956,-70.1996,Santa Fe Inn Hotel
396,Amahai,ID,77.76,light rain,-3.3333,128.9167,HOTEL ISABELA
398,Makakilo City,US,80.92,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
399,Porto Novo,BJ,76.75,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
403,Bandarbeyla,SO,77.92,overcast clouds,9.4942,50.8122,JABIR HOTEL
405,Bo Rai,TH,76.14,light rain,12.5728,102.5371,Baiboon Resort
407,San Policarpo,PH,83.08,scattered clouds,12.1791,125.5072,Manong Aklan Resort
411,Pangai,TO,77.11,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
412,Patiya,BD,77.41,light rain,22.2931,91.9762,R Village
415,Buala,SB,84.42,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
418,Auki,SB,85.78,overcast clouds,-8.7676,160.7034,Auki Motel
421,Lincoln,US,75.29,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
423,Lubao,PH,87.15,broken clouds,14.9167,120.55,Hacienda Gracia
424,Hervey Bay,AU,77.11,clear sky,-25.2986,152.8535,Shelly Bay Resort
427,Katsuura,JP,80.71,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
