City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Oda,JP,35.1833,132.5,72.23,68,7,5.77,clear sky
79,Tiksi,RU,71.6872,128.8694,38.1,73,54,22.77,broken clouds
80,Mandan,US,46.8267,-100.8896,73.38,41,1,10.36,clear sky
81,Atar,MR,20.5169,-13.0499,90.3,20,1,7.29,clear sky
82,Mezinovskiy,RU,55.5042,40.3593,46.62,95,100,4.52,overcast clouds
83,Eravur,LK,7.7733,81.6095,79.88,78,100,3.74,overcast clouds
84,Carnarvon,AU,-24.8667,113.6333,71.67,64,0,20.71,clear sky
85,Geraldton,AU,-28.7667,114.6,65.12,67,0,14.97,clear sky
86,Busselton,AU,-33.65,115.3333,58.05,61,0,13.85,clear sky
87,Bengkulu,ID,-3.8004,102.2655,78.87,78,91,3.06,overcast clouds
88,Husavik,IS,66.0449,-17.3389,36.54,93,100,17.76,overcast clouds
89,Klaksvik,FO,62.2266,-6.589,52.72,93,100,26.55,overcast clouds
90,Mackay,AU,-21.15,149.2,75.04,61,16,11.41,few clouds
91,Khatanga,RU,71.9667,102.5,33.64,91,100,5.41,overcast clouds
92,Constitucion,CL,-35.3333,-72.4167,54.68,77,0,8.16,clear sky
93,Fort Morgan,US,40.2503,-103.8,75.85,13,1,9.22,clear sky
94,Moose Factory,CA,51.2585,-80.6094,46.38,74,100,7.9,overcast clouds
95,Haicheng,CN,40.8516,122.7475,63.01,74,100,2.66,overcast clouds
96,East London,ZA,-33.0153,27.9116,64.11,53,34,17.16,scattered clouds
97,Black River,JM,18.0264,-77.8487,80.4,82,63,2.42,broken clouds
98,Westport,US,41.1415,-73.3579,77.76,89,90,1.01,overcast clouds
99,Basco,PH,20.4487,121.9702,84.06,75,21,15.03,few clouds
100,Valdivia,CL,-39.8142,-73.2459,51.89,93,0,1.14,clear sky
101,Yellowknife,CA,62.456,-114.3525,45.48,73,100,4.0,overcast clouds
102,Pocatello,US,42.8713,-112.4455,69.48,34,1,5.99,clear sky
103,Kavieng,PG,-2.5744,150.7967,84.83,67,100,11.34,overcast clouds
104,Chuy,UY,-33.6971,-53.4616,54.27,96,56,5.41,broken clouds
105,Lavrentiya,RU,65.5833,-171.0,33.26,68,100,4.56,overcast clouds
106,Port Elizabeth,ZA,-33.918,25.5701,57.09,81,100,12.06,overcast clouds
107,Mon,IN,26.75,95.1,71.49,97,82,2.01,broken clouds
108,Nikolskoye,RU,59.7035,30.7861,46.29,88,100,11.32,overcast clouds
109,Guangzhou,CN,23.1167,113.25,84.15,65,4,7.58,light rain
110,Brae,GB,60.3964,-1.353,53.51,95,100,25.79,overcast clouds
111,Vila Velha,BR,-20.3297,-40.2925,66.15,77,75,5.75,broken clouds
112,Hammerfest,NO,70.6634,23.6821,45.05,70,0,12.66,light rain
113,Qui Nhon,VN,13.7667,109.2333,78.21,81,100,2.17,overcast clouds
114,Saskylakh,RU,71.9167,114.0833,33.58,98,100,10.02,light rain
115,Saint-Augustin,CA,51.226,-58.6502,46.98,90,83,4.99,broken clouds
116,Karpogory,RU,64.0019,44.4451,43.29,87,100,7.65,overcast clouds
117,Roma,US,43.2128,-75.4557,68.5,94,90,4.61,overcast clouds
118,Balakhninskiy,RU,58.0106,114.2769,41.95,72,18,1.74,few clouds
119,Thompson,CA,55.7435,-97.8558,48.36,100,90,5.75,overcast clouds
120,Kapaa,US,22.0752,-159.319,84.18,69,75,3.0,broken clouds
121,Qaanaaq,GL,77.484,-69.3632,16.72,59,100,6.35,overcast clouds
122,Envira,BR,-7.3,-70.2167,74.08,88,89,2.59,overcast clouds
123,Lewiston,US,44.1003,-70.2148,68.65,92,7,3.89,clear sky
124,Kahului,US,20.8947,-156.47,86.02,68,40,21.85,light rain
125,Sinnamary,GF,5.3833,-52.95,80.04,83,21,11.03,few clouds
126,Kilifi,KE,-3.6305,39.8499,74.35,84,15,12.44,few clouds
127,Smidovich,RU,48.6,133.8167,58.03,50,7,7.27,clear sky
128,Bredasdorp,ZA,-34.5322,20.0403,51.49,94,28,5.73,scattered clouds
129,Semnan,IR,35.5729,53.3971,75.04,16,0,6.24,clear sky
130,San Patricio,US,28.017,-97.5169,78.66,43,0,11.39,clear sky
131,Sisimiut,GL,66.9395,-53.6735,28.42,88,100,2.39,light snow
132,Vaini,TO,-21.2,-175.2,82.56,78,75,11.5,broken clouds
133,Bethel,US,41.3712,-73.414,76.5,90,90,1.01,overcast clouds
134,Castro,BR,-24.7911,-50.0119,51.24,92,12,7.52,few clouds
135,Moerai,PF,-22.4333,-151.3333,71.35,66,0,16.89,clear sky
136,Altamira,BR,-3.2033,-52.2064,81.01,64,87,1.52,overcast clouds
137,Hovd,MN,48.0056,91.6419,45.21,40,100,5.48,overcast clouds
138,Beringovskiy,RU,63.05,179.3167,36.48,78,100,19.53,overcast clouds
139,Lorengau,PG,-2.0226,147.2712,83.77,73,100,10.29,overcast clouds
140,Provideniya,RU,64.3833,-173.3,33.91,75,90,11.18,light rain and snow
141,Salalah,OM,17.0151,54.0924,82.49,83,75,5.75,broken clouds
142,Ilulissat,GL,69.2167,-51.1,24.82,74,75,2.3,light snow
143,Faanui,PF,-16.4833,-151.75,78.28,70,3,14.32,clear sky
144,Padang,ID,-0.9492,100.3543,77.05,78,74,2.35,broken clouds
145,Taoudenni,ML,22.6783,-3.9836,92.28,9,0,2.98,clear sky
146,Bhainsdehi,IN,21.6467,77.6325,70.66,93,89,2.93,overcast clouds
147,Shubarshi,KZ,48.5872,57.1869,53.31,41,100,18.28,overcast clouds
148,Faya,SA,18.3851,42.4509,64.92,47,21,1.05,few clouds
